time,K1,K2,K3,K4,K5,K6,K7
1.6,32.96548043535131,94.0247457420046,-108.91224827845622,31.797091658224417,-15.086772079230059,-1.1088030940081808,14.142135623730889
1.625,32.88367128236314,93.18693449761349,-112.01070091338102,31.47435361838052,-13.919331394847632,-0.3828000898456594,14.14213562373256
1.65,32.774849426551555,94.6059279157098,-115.55169303661182,30.88945935472384,-12.831376140924931,0.11644000736396265,14.142135623732344
1.675,32.63954007976372,97.33155296521454,-119.46208417080607,30.029416397896966,-11.8887510050522,0.33392702372179883,14.142135623731154
1.7000000000000002,32.47060062785522,101.02230875146233,-123.17739942953926,28.931257309053763,-11.124909249895381,0.2610126311392378,14.14213562373144
1.725,32.25700778845567,105.80890241497491,-125.86563959912837,27.67699847365384,-10.520521185315374,-0.04466381417273624,14.142135623728336
1.75,31.98915160125307,112.0262675330514,-126.7710855210521,26.356280921015696,-9.985068718561479,-0.46214261268210066,14.142135623732784
1.775,31.66603603704425,119.8629569262348,-125.54505080810418,25.015660509671306,-9.35325131098466,-0.8334278888464723,14.142135623729189
1.8,31.302966621282394,129.01835199470133,-122.43276811106398,23.633979016669855,-8.417800103196441,-1.0056990793714249,14.142135623731235
1.825,30.934740148995843,138.5100344588309,-118.2518842289976,22.16002548065626,-7.022632026935753,-0.8837479492383409,14.142135623731747
1.85,30.60717053015469,146.90592599082083,-114.10726142889735,20.599460627991903,-5.191105261548046,-0.47997794128878013,14.142135623729928
1.875,30.35716888283332,153.11486742774832,-110.8592290784386,19.062221616817624,-3.1616617851218507,0.08426360484213546,14.142135623733395
1.9,30.195918812004038,157.09086129966636,-108.7121883092791,17.696411269717373,-1.2352753182881315,0.6597606852562876,14.142135623731917
1.925,30.10997529074575,159.60881303442056,-107.33753257328499,16.587025929419724,0.4127220060511263,1.1618859073205385,14.142135623729189
1.95,30.075746298098693,161.47936417855362,-106.31349365818642,15.738313049986573,1.758044404088423,1.5832355124687183,14.142135623732997
1.975,30.072012214486676,163.09759848734302,-105.4072678416851,15.119433249728672,2.837765141099908,1.946885568795551,14.142135623731093
2.0,30.084166633702353,164.47274578689485,-104.602562956783,14.69962581689083,3.6801301194218468,2.266195846401615,14.142135623731633
2.025,30.103222003029714,165.43305477489866,-104.01020026984997,14.454122730516474,4.291483519743679,2.5351129325276816,14.142135623728535
2.0500000000000003,30.123509386513888,165.80609211713272,-103.76297053147664,14.356773802929183,4.674226480426114,2.7387191689997508,14.142135623730496
2.075,30.140973260991814,165.52932141680412,-103.92941690097086,14.374148896892166,4.8466580487145166,2.8677365612877566,14.142135623731946
2.1,30.152581668594394,164.69095912667945,-104.46302216456388,14.466749958583705,4.849547589079066,2.9265839101656184,14.142135623733395
2.125,30.156589761521445,163.50304688147025,-105.20191383012298,14.595667540580507,4.738509017924798,2.9325410313629163,14.142135623730127
2.15,30.152975475209132,162.22523993589493,-105.91929779724705,14.729402437122872,4.570598708028228,2.9094452151439327,14.142135623732486
2.1750000000000003,30.14343997027845,161.0806688717712,-106.40265265970493,14.846864583020533,4.394053999431662,2.880807567986949,14.142135623734902
2.2,30.130795016929824,160.20278591293754,-106.52988794453358,14.936408877828853,4.244254525562155,2.8650824477997503,14.142135623732514
2.225,30.117984783012616,159.62574681074966,-106.31525114368014,14.993109584773492,4.143874084847312,2.8732257487783954,14.142135623732457
2.25,30.107171774184735,159.30709283899614,-105.90761922018373,15.016137938406473,4.104282959441207,2.90773466706446,14.142135623728905
2.275,30.099230376946252,159.16452533599295,-105.53668182883484,15.006769214655378,4.1269515543035595,2.96285472109048,14.142135623731605
2.3000000000000003,30.093762638219232,159.11249092914386,-105.42093210865869,14.966863378127073,4.205217134499435,3.026406524644244,14.142135623731434
2.325,30.089541542453844,159.08878247679604,-105.67111453883308,14.89793051551078,4.327058334165486,3.0837886093363522,14.142135623729928
2.35,30.085173037306504,159.0636077988438,-106.2333750869625,14.801468302981448,4.478557057840135,3.123721268368854,14.142135623731264
2.375,30.079723879985067,159.0285971529829,-106.90799043777179,14.681277282599467,4.646349325219489,3.1434734149324868,14.142135623732884
2.4000000000000004,30.07306486076004,158.97532316062825,-107.4479036418661,14.547252555479872,4.817124496454198,3.150072770721863,14.142135623732287
2.4250000000000003,30.0657992421402,158.8854649660325,-107.69429888637706,14.417917044741671,4.974526328230695,3.155342198251901,14.142135623731832
2.45,30.058941068063632,158.7514954617427,-107.66897621099906,14.317345657361784,5.097808291102638,3.1668672372795754,14.142135623734191
2.475,30.053732016897357,158.61584798815784,-107.5465239674254,14.263536459846136,5.168552851889217,3.181451690159747,14.14213562373223
2.5,30.05165947283649,158.56205824533208,-107.49559081622692,14.25181626722042,5.18685254093657,3.1882488012574868,14.142135623733594
