time,theta,alpha,beta,theta_dot,alpha_dot,beta_dot,int_theta
1.175,-0.18048532352253358,1.5924017731156812,-0.16630460756915752,7.676859626163577,8.895219547859039,-3.9279039001198073,-0.32282640787779987
1.2000000000000002,0.015475422801725367,1.8153868555793196,-0.24065688716954534,8.000000079777136,8.943587049232024,-2.0202784679112193,-0.32488903163680993
1.225,0.2154754247965514,2.027536639449682,-0.24925824164595173,8.000000079808945,8.028395660396999,1.3321701097987084,-0.32200214604183147
1.25,0.41380208741802743,2.2134807608874114,-0.17741386541141002,7.866132929909138,6.847134054621339,4.415379988964627,-0.31413617713914926
1.2750000000000001,0.6053323180827295,2.3743406304050865,-0.047922281184339506,7.456285523267026,6.021655506792629,5.943946749201015,-0.3013969970703898
1.3,0.7825887371604988,2.522399551337391,0.09629321597266802,6.724228002954518,5.823058167791732,5.593293023359587,-0.2840479838798495
1.3250000000000002,0.9380584617248392,2.6704423170863403,0.21715084862867381,5.713349962192719,6.020363092124215,4.075317589120877,-0.26253989389378274
1.35,1.065636158889724,2.8235335450275327,0.29627789872184057,4.4928658109980715,6.226935143171187,2.2548464183324652,-0.2374937111361007
1.375,1.1610052078741186,2.9786347787106333,0.3326186403575985,3.1366581077534934,6.181163551476837,0.6524129125281724,-0.20966069405155266
1.4000000000000001,1.221889750800607,3.128013745676798,0.33519473044609166,1.7341053263655775,5.769153805816326,-0.4463257054487228,-0.17987450706811858
1.425,1.2483804075589866,3.2627901136486983,0.31790636898812247,0.3851472143047917,5.012955631935712,-0.9367432111888111,-0.14899613008862367
1.4500000000000002,1.24294631578748,3.3760008689726058,0.2947735487558913,-0.8198745560253204,4.043904793976885,-0.9138824073896853,-0.11785454604679284
1.475,1.209957055677135,3.4644450420967927,0.27585235253013746,-1.8192662528022767,3.031629055958086,-0.5998132906706183,-0.08719325390348515
1.5,1.1548569516882297,3.5287289470942667,0.26561707962412623,-2.58874206631015,2.1110833438398395,-0.21900854181027907,-0.0576330788114181
1.5250000000000001,1.0832765048813575,3.57201612845654,0.26384897970932325,-3.137693678239633,1.3518911651420202,0.0775605486260369,-0.02965641060429825
1.55,1.0003358164746214,3.5985038158974634,0.2675818990589078,-3.4975613942992516,0.7671238301318345,0.2210729993407279,-0.003611256587348511
1.5750000000000002,0.910247562219992,3.612286626132892,0.2728844124380058,-3.7094989460711028,0.33550098870244893,0.2031280709871149,0.02027103564633416
1.6,0.8161888980685014,3.616740027036833,0.2760623924156591,-3.8151941860481404,0.020771083612827142,0.05111032722514683,0.04185149139994033
1.625,0.7203608028129267,3.614310357084357,0.274304948092114,-3.851053434397829,-0.2151446798108684,-0.19170587310875498,0.06105836266095818
1.6500000000000001,0.6241619264598166,3.6065662418037445,0.2659041949403369,-3.8448566738509844,-0.4043845426381373,-0.4803543790334148,0.07786489677686748
1.675,0.528422520998508,3.594390543678727,0.25019392045398264,-3.814295763053695,-0.5696713073632457,-0.7764675798749252,0.09227220237009653
1.7000000000000002,0.4336544323089582,3.578218654952733,0.22734702053660086,-3.767151332110287,-0.7240797907163021,-1.0512844135156172,0.10429816428643986
1.725,0.34027900972602326,3.558257287761267,0.19814292660462363,-3.7028824745245075,-0.8728295846009698,-1.2850431010425605,0.11397233231187713
1.75,0.24880258575362,3.5346484763625052,0.16377005359410296,-3.6152314432677546,-1.015875327299971,-1.4647867397990915,0.12133585225537268
1.7750000000000001,0.15992134432173896,3.5075712073554532,0.12568250064739364,-3.4952678712827274,-1.1503061932642051,-1.5822174959376534,0.12644490138131467
1.8,0.0745524739740164,3.4772926818851624,0.08549900614040065,-3.334241756535076,-1.2719758443590337,-1.6324620646217853,0.1293758241100116
1.8250000000000002,-0.006197365674036538,3.44418994210198,0.04491985152747003,-3.125745415309159,-1.3762433382955273,-1.613870304412664,0.13023026296376136
1.85,-0.08110632974418394,3.4087607998167617,0.0056400509773944394,-2.866971710302633,-1.4580880445219835,-1.5285137395933832,0.12913896677103362
1.875,-0.14893308164692745,3.371633699704254,-0.030752083085252263,-2.559168441916845,-1.5120799644786125,-1.3828569854183532,0.12626347412864472
1.9000000000000001,-0.20851728539537678,3.333573907722602,-0.06288761394421996,-2.2075678579591007,-1.5327033940535462,-1.187985483299063,0.12179534454061591
1.925,-0.25887492472706547,3.295473565944216,-0.08972249319376654,-1.8210432885759915,-1.5153239482173646,-0.9588048566646631,0.11595294191408538
1.9500000000000002,-0.2992827448697784,3.2583109818227047,-0.11060730058035628,-1.4115823228410456,-1.4576827815035143,-0.7119797342625153,0.10897597104412485
1.975,-0.3293465433465977,3.2230728469575136,-0.12529529281852408,-0.9935215553044944,-1.361368007711753,-0.46305964479090905,0.10111810494142014
2.0,-0.3490464962655666,3.1906491124147074,-0.13388166679669633,-0.5824746782130216,-1.2325307557127678,-0.22385027346287142,0.09263819194626809
2.025,-0.35875238888830974,3.1617256279220656,-0.1366940722325251,-0.19399673160643002,-1.0813480036985548,-0.0011421614034311863,0.08379070588184463
2.0500000000000003,-0.35920439214396405,3.13670545427506,-0.13417470192753006,0.15783647115408844,-0.9202658880619211,0.2026917858030354,0.07481624611894121
2.075,-0.35146027813099,3.115682591069263,-0.1267962736875033,0.46169264988383374,-0.7615631684018269,0.38758247339910634,0.0659329377405043
2.1,-0.3368154656969599,3.0984757157965084,-0.1150378736566915,0.7098923448385764,-0.6149868534185297,0.5530895290658365,0.05732949094265492
2.125,-0.31670592852104845,3.084712240339688,-0.09942163522060872,0.8988706292343374,-0.4860911831271049,0.6962095458207853,0.04916047351492982
2.15,-0.2926050148650807,3.0739409876394843,-0.0805890370867012,1.0292024632430847,-0.37560903288915465,0.8103983048918165,0.0415440867226032
2.1750000000000003,-0.2659242457821232,3.0657473364504293,-0.059383043562023986,1.1052590633935147,-0.27988306223523723,0.886081177082361,0.03456247096451315
2.2,-0.23792643563742666,3.0598466290096527,-0.03690066903174002,1.1345657481822082,-0.19217353302688928,0.9125087853403566,0.02826433744676878
2.225,-0.20965804962173648,3.056137722697156,-0.014488183093503082,1.1269051330730053,-0.10453897197283987,0.8804900897185982,0.02266953138102924
2.25,-0.18190694567604107,3.0547068335741057,0.006334514673624362,1.0931831825826284,-0.009932157871209274,0.785325731651597,0.01777496893980702
2.275,-0.1551912683715553,3.055780531009778,0.024016582547380424,1.0440710017762322,0.09582795272501046,0.6292396982488878,0.013561241264212064
2.3000000000000003,-0.12978458160694883,3.059634054873741,0.03716724761803208,0.9884639393922867,0.2124539563920187,0.4228135074032442,0.009999043139480763
2.325,-0.10578043861923363,3.0664658504970976,0.04476813100577929,0.93186749962493,0.33408969347649625,0.18525716361653272,0.007054480386653481
2.35,-0.08319549661463324,3.076252235154581,0.046378273387133115,0.8749278607431004,0.44882107912216246,-0.05644577310822657,0.004692281196230145
2.375,-0.06210307240286889,3.088600537590227,0.04230281728339797,0.8124660761980474,0.5390431157295358,-0.269590715190585,0.0028760490835113696
2.4000000000000004,-0.042778132964411575,3.102628061784906,0.03369049740453104,0.7335290788785384,0.5831588198447594,-0.41939487511876977,0.0015650340164203634
2.4250000000000003,-0.025820232171611623,3.116907853948102,0.022513367747491377,0.6231029845454575,0.5592245532108993,-0.47477549744440306,0.0007075544522200736
2.45,-0.012203892217696915,3.1295360414949003,0.011373169476855812,0.466204211767719,0.45103045053297613,-0.416440364206442,0.00023225289735371682
2.475,-0.003188169785300214,3.138383287858178,0.003083832462137643,0.25505358282401713,0.2567492585292254,-0.24670659697101144,3.985212231625268e-05
2.5,0.0,3.141592653589793,0.0,-1.042412816035968e-25,8.575222829721677e-25,0.0,0.0
